payment_final_amount,payment_method_id,payment_created_at
1728.00,4,2025-06-01 03:26:41
1632.00,5,2025-06-01 03:26:42
864.00,5,2025-06-01 03:26:43
1312.00,4,2025-06-01 03:26:44
384.00,3,2025-06-01 03:26:45
512.00,1,2025-06-01 03:26:46
896.00,1,2025-06-01 03:26:47
576.00,2,2025-06-01 03:26:48
304.00,5,2025-06-01 03:26:50
256.00,3,2025-06-01 03:26:51
768.00,1,2025-06-01 03:26:53
1440.00,5,2025-06-01 03:26:55
2496.00,4,2025-06-01 03:26:57
640.00,5,2025-06-01 03:26:59
608.00,2,2025-06-01 03:27:01
1536.00,1,2025-06-01 03:27:04
672.00,5,2025-06-01 03:27:05
2320.00,2,2025-06-01 03:27:09
1408.00,4,2025-06-01 03:27:10
912.00,5,2025-06-01 03:27:15
1168.00,3,2025-06-01 03:27:17
576.00,3,2025-06-01 03:27:18
1504.00,2,2025-06-01 03:27:19
864.00,2,2025-06-01 03:27:20
576.00,5,2025-06-01 03:27:21
1472.00,4,2025-06-01 03:27:22
1920.00,5,2025-06-01 03:27:23
1536.00,3,2025-06-01 03:27:24
912.00,2,2025-06-01 03:27:26
1920.00,2,2025-06-01 03:27:27
192.00,3,2025-06-01 03:27:28
1376.00,2,2025-06-01 03:27:29
2096.00,2,2025-06-01 03:27:32
384.00,5,2025-06-01 03:27:33
912.00,3,2025-06-01 03:27:34
1664.00,1,2025-06-01 03:27:35
512.00,1,2025-06-01 03:27:37
1424.00,1,2025-06-01 03:27:38
640.00,2,2025-06-01 03:27:39
864.00,1,2025-06-01 03:27:43
320.00,1,2025-06-01 03:27:44
1056.00,1,2025-06-01 03:27:45
576.00,1,2025-06-01 03:27:46
1600.00,2,2025-06-01 03:27:47
944.00,4,2025-06-01 03:27:49
304.00,5,2025-06-01 03:27:50
1888.00,2,2025-06-01 03:27:51
736.00,3,2025-06-01 03:27:52
1824.00,4,2025-06-01 03:27:53
1184.00,5,2025-06-01 03:27:54
640.00,4,2025-06-01 03:27:55
1280.00,1,2025-06-01 03:27:56
2112.00,2,2025-06-01 03:28:00
1824.00,1,2025-06-01 03:28:02
1424.00,5,2025-06-01 03:28:03
1056.00,4,2025-06-01 03:28:04
672.00,4,2025-06-01 03:28:06
576.00,5,2025-06-01 03:28:07
592.00,3,2025-06-01 03:28:08
512.00,5,2025-06-01 03:28:10
1440.00,2,2025-06-01 03:28:11
864.00,3,2025-06-01 03:28:12
1248.00,3,2025-06-01 03:28:16
576.00,2,2025-06-01 03:28:17
1248.00,4,2025-06-01 03:28:18
1824.00,3,2025-06-01 03:28:20
448.00,1,2025-06-01 03:28:21
320.00,5,2025-06-01 03:28:22
2352.00,4,2025-06-01 03:28:23
1472.00,4,2025-06-01 03:28:24
752.00,2,2025-06-01 03:28:25
1536.00,3,2025-06-01 03:28:26
2400.00,2,2025-06-01 03:28:27
608.00,2,2025-06-01 03:28:29
1152.00,3,2025-06-01 03:28:30
1440.00,2,2025-06-01 03:28:31
1728.00,2,2025-06-01 03:28:36
576.00,1,2025-06-01 03:28:37
1184.00,2,2025-06-01 03:28:38
1632.00,5,2025-06-01 03:28:40
1632.00,3,2025-06-01 03:28:42
256.00,2,2025-06-01 03:28:43
2048.00,4,2025-06-01 03:28:44
1680.00,2,2025-06-01 03:28:45
864.00,2,2025-06-01 03:28:46
1488.00,5,2025-06-01 03:28:49
1120.00,3,2025-06-01 03:28:50
1200.00,4,2025-06-01 03:28:51
1792.00,3,2025-06-01 03:28:54
384.00,4,2025-06-01 03:28:57
1152.00,3,2025-06-01 03:28:58
640.00,2,2025-06-01 03:29:00
1584.00,1,2025-06-01 03:29:02
608.00,5,2025-06-01 03:29:05
1152.00,5,2025-06-01 03:29:07
384.00,3,2025-06-01 03:29:08
960.00,5,2025-06-01 03:29:09
896.00,5,2025-06-01 03:29:10
1632.00,5,2025-06-01 03:29:11
1552.00,4,2025-06-01 03:29:13
640.00,2,2025-06-01 03:29:14
512.00,5,2025-06-01 03:29:15
1952.00,4,2025-06-01 03:29:16
1248.00,2,2025-06-01 03:29:21
768.00,4,2025-06-01 03:29:22
640.00,1,2025-06-01 03:29:23
704.00,5,2025-06-01 03:29:25
896.00,3,2025-06-01 03:29:26
192.00,1,2025-06-01 03:29:28
2112.00,5,2025-06-01 03:29:29
608.00,1,2025-06-01 03:29:30
384.00,5,2025-06-01 03:29:31
2128.00,3,2025-06-01 03:29:34
1920.00,4,2025-06-01 03:29:35
1248.00,1,2025-06-01 03:29:39
912.00,2,2025-06-01 03:29:40
1440.00,5,2025-06-01 03:29:41
832.00,5,2025-06-01 03:29:42
768.00,2,2025-06-01 03:29:44
224.00,1,2025-06-01 03:29:45
496.00,1,2025-06-01 03:29:46
480.00,1,2025-06-01 03:29:47
2448.00,3,2025-06-01 03:29:48
1152.00,5,2025-06-01 03:29:49
1632.00,1,2025-06-01 03:29:51
576.00,3,2025-06-01 03:29:53
1344.00,3,2025-06-01 03:29:59
512.00,3,2025-06-01 03:30:02
816.00,4,2025-06-01 03:30:03
1600.00,1,2025-06-01 03:30:05
1120.00,2,2025-06-01 03:30:07
560.00,3,2025-06-01 03:30:08
512.00,3,2025-06-01 03:30:10
672.00,3,2025-06-01 03:30:11
1440.00,4,2025-06-01 03:30:12
640.00,2,2025-06-01 03:30:13
768.00,4,2025-06-01 03:30:14
288.00,2,2025-06-01 03:30:17
1344.00,4,2025-06-01 03:30:18
960.00,2,2025-06-01 03:30:19
1440.00,3,2025-06-01 03:30:25
512.00,4,2025-06-01 03:30:26
1360.00,3,2025-06-01 03:30:27
864.00,1,2025-06-01 03:30:28
224.00,4,2025-06-01 03:30:30
256.00,4,2025-06-01 03:30:31
1072.00,2,2025-06-01 03:30:32
864.00,4,2025-06-01 03:30:33
1088.00,1,2025-06-01 03:30:34
1024.00,5,2025-06-01 03:30:35
2128.00,3,2025-06-01 03:30:36
1184.00,3,2025-06-01 03:30:37
960.00,2,2025-06-01 03:30:38
1024.00,5,2025-06-01 03:30:39
2080.00,3,2025-06-01 03:30:42
768.00,4,2025-06-01 03:30:43
288.00,3,2025-06-01 03:30:44
512.00,3,2025-06-01 03:30:45
512.00,3,2025-06-01 03:30:46
576.00,3,2025-06-01 03:30:48
224.00,3,2025-06-01 03:30:49
1408.00,4,2025-06-01 03:30:50
288.00,1,2025-06-01 03:30:51
576.00,1,2025-06-01 03:30:55
1872.00,5,2025-06-01 03:30:56
1728.00,3,2025-06-01 03:30:57
1088.00,5,2025-06-01 03:30:58
1408.00,4,2025-06-01 03:31:00
1472.00,4,2025-06-01 03:31:01
1632.00,5,2025-06-01 03:31:02
288.00,4,2025-06-01 03:31:03
1376.00,2,2025-06-01 03:31:04
1872.00,3,2025-06-01 03:31:06
912.00,5,2025-06-01 03:31:07
1600.00,4,2025-06-01 03:31:08
1024.00,4,2025-06-01 03:31:09
672.00,1,2025-06-01 03:31:12
576.00,1,2025-06-01 03:31:13
1520.00,4,2025-06-01 03:31:17
880.00,1,2025-06-01 03:31:21
1792.00,2,2025-06-01 03:31:22
1152.00,3,2025-06-01 03:31:24
1680.00,1,2025-06-01 03:31:25
304.00,5,2025-06-01 03:31:26
1472.00,1,2025-06-01 03:31:27
816.00,2,2025-06-01 03:31:29
1632.00,4,2025-06-01 03:31:32
1504.00,4,2025-06-01 03:31:33
768.00,1,2025-06-01 03:31:34
1024.00,3,2025-06-01 03:31:35
2032.00,1,2025-06-01 03:31:36
880.00,5,2025-06-01 03:31:38
1136.00,1,2025-06-01 03:31:39
1024.00,5,2025-06-01 03:31:40
1312.00,1,2025-06-01 03:31:42
2208.00,4,2025-06-01 03:31:43
1168.00,2,2025-06-01 03:31:47
288.00,1,2025-06-01 03:31:48
768.00,5,2025-06-01 03:31:51
320.00,4,2025-06-01 03:31:52
1440.00,2,2025-06-01 03:31:53
576.00,2,2025-06-01 03:31:54
512.00,1,2025-06-01 03:31:55
560.00,1,2025-06-01 03:31:56
896.00,1,2025-06-01 03:31:57
960.00,3,2025-06-01 03:31:58
304.00,1,2025-06-01 03:31:59
880.00,2,2025-06-01 03:32:02
1120.00,4,2025-06-01 03:32:03
1856.00,4,2025-06-01 03:32:07
2304.00,1,2025-06-01 03:32:09
640.00,4,2025-06-01 03:32:11
928.00,1,2025-06-01 03:32:12
576.00,3,2025-06-01 03:32:14
2048.00,2,2025-06-01 03:32:15
1088.00,3,2025-06-01 03:32:16
2080.00,3,2025-06-01 03:32:19
672.00,4,2025-06-01 03:32:24
576.00,2,2025-06-01 03:32:25
864.00,5,2025-06-01 03:32:26
304.00,1,2025-06-01 03:32:27
1536.00,4,2025-06-01 03:32:28
688.00,4,2025-06-01 03:32:29
1216.00,1,2025-06-01 03:32:30
304.00,5,2025-06-01 03:32:32
1472.00,1,2025-06-01 03:32:37
1792.00,4,2025-06-01 03:32:41
2176.00,5,2025-06-01 03:32:42
1184.00,3,2025-06-01 03:32:43
768.00,1,2025-06-01 03:32:44
1024.00,2,2025-06-01 03:32:45
1152.00,2,2025-06-01 03:32:46
1088.00,2,2025-06-01 03:32:47
256.00,5,2025-06-01 03:32:48
544.00,4,2025-06-01 03:32:49
320.00,5,2025-06-01 03:32:50
576.00,1,2025-06-01 03:32:51
256.00,1,2025-06-01 03:32:53
1376.00,3,2025-06-01 03:32:54
1088.00,4,2025-06-01 03:32:55
2208.00,4,2025-06-01 03:32:56
512.00,3,2025-06-01 03:32:57
592.00,2,2025-06-01 03:32:58
1744.00,1,2025-06-01 03:32:59
960.00,5,2025-06-01 03:33:02
864.00,1,2025-06-01 03:33:03
1472.00,4,2025-06-01 03:33:06
1408.00,4,2025-06-01 03:33:07
448.00,4,2025-06-01 03:33:09
576.00,5,2025-06-01 03:33:11
960.00,3,2025-06-01 03:33:14
256.00,2,2025-06-01 03:33:15
576.00,4,2025-06-01 03:33:16
448.00,4,2025-06-01 03:33:17
1536.00,3,2025-06-01 03:33:18
1664.00,2,2025-06-01 03:33:19
512.00,3,2025-06-01 03:33:22
864.00,4,2025-06-01 03:33:25
864.00,5,2025-06-01 03:33:27
2240.00,5,2025-06-01 03:33:28
1152.00,5,2025-06-01 03:33:30
1504.00,4,2025-06-01 03:33:31
768.00,1,2025-06-01 03:33:34
1056.00,3,2025-06-01 03:33:35
192.00,1,2025-06-01 03:33:36
1600.00,4,2025-06-01 03:33:37
304.00,2,2025-06-01 03:33:38
1696.00,2,2025-06-01 03:33:39
832.00,4,2025-06-01 03:33:40
448.00,3,2025-06-01 03:33:41
1280.00,5,2025-06-01 03:33:42
864.00,5,2025-06-01 03:33:43
1280.00,3,2025-06-01 03:33:44
576.00,2,2025-06-01 03:33:45
288.00,3,2025-06-01 03:33:46
1952.00,2,2025-06-01 03:33:47
896.00,3,2025-06-01 03:33:49
640.00,3,2025-06-01 03:33:50
2240.00,3,2025-06-01 03:33:51
1440.00,1,2025-06-01 03:33:53
608.00,1,2025-06-01 03:33:57
320.00,3,2025-06-01 03:33:58
864.00,1,2025-06-01 03:34:01
1472.00,2,2025-06-01 03:34:02
1216.00,4,2025-06-01 03:34:05
1440.00,5,2025-06-01 03:34:07
1504.00,3,2025-06-01 03:34:08
512.00,2,2025-06-01 03:34:10
1728.00,1,2025-06-01 03:34:11
1248.00,2,2025-06-01 03:34:14
864.00,3,2025-06-01 03:34:17
1120.00,3,2025-06-01 03:34:18
1936.00,2,2025-06-01 03:34:20
1472.00,1,2025-06-01 03:34:21
1936.00,1,2025-06-01 03:34:22
1024.00,3,2025-06-01 03:34:23
1824.00,2,2025-06-01 03:34:24
992.00,5,2025-06-01 03:34:25
320.00,1,2025-06-01 03:34:30
960.00,3,2025-06-01 03:34:32
1056.00,4,2025-06-01 03:34:35
752.00,2,2025-06-01 03:34:37
1184.00,4,2025-06-01 03:34:38
1520.00,4,2025-06-01 03:34:39
384.00,4,2025-06-01 03:34:40
1808.00,3,2025-06-01 03:34:41
224.00,3,2025-06-01 03:34:42
1248.00,4,2025-06-01 03:34:44
256.00,3,2025-06-01 03:34:45
800.00,2,2025-06-01 03:34:46
256.00,1,2025-06-01 03:34:47
2496.00,5,2025-06-01 03:34:49
1568.00,3,2025-06-01 03:34:50
2304.00,5,2025-06-01 03:34:51
384.00,3,2025-06-01 03:34:52
1120.00,1,2025-06-01 03:34:53
288.00,1,2025-06-01 03:34:54
896.00,2,2025-06-01 03:34:55
1408.00,2,2025-06-01 03:34:56
960.00,4,2025-06-01 03:34:57
2000.00,2,2025-06-01 03:34:58
448.00,4,2025-06-01 03:34:59
576.00,4,2025-06-01 03:35:00
448.00,2,2025-06-01 03:35:01
1024.00,5,2025-06-01 03:35:04
1248.00,1,2025-06-01 03:35:05
1072.00,2,2025-06-01 03:35:06
1376.00,4,2025-06-01 03:35:07
1632.00,1,2025-06-01 03:35:11
1824.00,2,2025-06-01 03:35:12
672.00,3,2025-06-01 03:35:13
1856.00,2,2025-06-01 03:35:17
576.00,4,2025-06-01 03:35:21
672.00,2,2025-06-01 03:35:23
288.00,1,2025-06-01 03:35:25
2144.00,1,2025-06-01 03:35:27
288.00,2,2025-06-01 03:35:28
1088.00,4,2025-06-01 03:35:29
1616.00,3,2025-06-01 03:35:32
928.00,2,2025-06-01 03:35:33
1184.00,2,2025-06-01 03:35:34
288.00,5,2025-06-01 03:35:37
544.00,3,2025-06-01 03:35:39
1152.00,2,2025-06-01 03:35:42
320.00,2,2025-06-01 03:35:43
1120.00,2,2025-06-01 03:35:44
768.00,5,2025-06-01 03:35:45
1488.00,4,2025-06-01 03:35:52
1760.00,4,2025-06-01 03:35:54
288.00,3,2025-06-01 03:35:55
1184.00,5,2025-06-01 03:35:56
1856.00,2,2025-06-01 03:35:57
1584.00,1,2025-06-01 03:35:58
320.00,2,2025-06-01 03:35:59
288.00,2,2025-06-01 03:36:01
832.00,1,2025-06-01 03:36:02
640.00,2,2025-06-01 03:36:03
864.00,5,2025-06-01 03:36:05
1824.00,1,2025-06-01 03:36:06
864.00,3,2025-06-01 03:36:08
2240.00,4,2025-06-01 03:36:09
960.00,4,2025-06-01 03:36:10
192.00,4,2025-06-01 03:36:11
592.00,4,2025-06-01 03:36:15
832.00,1,2025-06-01 03:36:16
1568.00,5,2025-06-01 03:36:17
768.00,4,2025-06-01 03:36:18
1792.00,3,2025-06-01 03:36:21
1632.00,5,2025-06-01 03:36:22
256.00,3,2025-06-01 03:36:23
912.00,5,2025-06-01 03:36:24
864.00,4,2025-06-01 03:36:28
1072.00,1,2025-06-01 03:36:30
1152.00,2,2025-06-01 03:36:32
2128.00,5,2025-06-01 03:36:33
512.00,5,2025-06-01 03:36:34
512.00,1,2025-06-01 03:36:35
1728.00,1,2025-06-01 03:36:36
576.00,5,2025-06-01 03:36:38
800.00,4,2025-06-01 03:36:41
2144.00,1,2025-06-01 03:36:42
1344.00,2,2025-06-01 03:36:43
1024.00,1,2025-06-01 03:36:44
256.00,4,2025-06-01 03:36:46
960.00,5,2025-06-01 03:36:47
2544.00,2,2025-06-01 03:36:48
912.00,2,2025-06-01 03:36:50
2112.00,5,2025-06-01 03:36:51
1792.00,3,2025-06-01 03:36:52
1072.00,5,2025-06-01 03:36:53
640.00,3,2025-06-01 03:36:54
1936.00,4,2025-06-01 03:36:55
2272.00,5,2025-06-01 03:36:56
1248.00,3,2025-06-01 03:36:57
1056.00,2,2025-06-01 03:36:58
256.00,1,2025-06-01 03:36:59
960.00,1,2025-06-01 03:37:01
864.00,4,2025-06-01 03:37:02
576.00,3,2025-06-01 03:37:03
2176.00,4,2025-06-01 03:37:04
576.00,2,2025-06-01 03:37:05
1312.00,3,2025-06-01 03:37:06
2240.00,2,2025-06-01 03:37:09
1504.00,3,2025-06-01 03:37:11
1664.00,5,2025-06-01 03:37:12
1376.00,1,2025-06-01 03:37:13
1792.00,2,2025-06-01 03:37:15
1120.00,1,2025-06-01 03:37:16
1472.00,5,2025-06-01 03:37:18
768.00,2,2025-06-01 03:37:19
1536.00,5,2025-06-01 03:37:21
288.00,3,2025-06-01 03:37:23
1504.00,4,2025-06-01 03:37:24
2320.00,4,2025-06-01 03:37:25
1728.00,1,2025-06-01 03:37:26
960.00,1,2025-06-01 03:37:27
1088.00,4,2025-06-01 03:37:28
288.00,4,2025-06-01 03:37:29
1248.00,1,2025-06-01 03:37:31
912.00,1,2025-06-01 03:37:32
752.00,1,2025-06-01 03:37:33
1472.00,3,2025-06-01 03:37:34
384.00,4,2025-06-01 03:37:37
448.00,2,2025-06-01 03:37:38
1664.00,5,2025-06-01 03:37:39
768.00,3,2025-06-01 03:37:40
1152.00,3,2025-06-01 03:37:41
1728.00,2,2025-06-01 03:37:42
1840.00,5,2025-06-01 03:37:43
1792.00,3,2025-06-01 03:37:44
960.00,1,2025-06-01 03:37:46
2208.00,1,2025-06-01 03:37:48
224.00,2,2025-06-01 03:37:49
768.00,1,2025-06-01 03:37:51
1920.00,5,2025-06-01 03:37:55
640.00,1,2025-06-01 03:37:58
1984.00,1,2025-06-01 03:37:59
1600.00,2,2025-06-01 03:38:01
1344.00,1,2025-06-01 03:38:03
1728.00,1,2025-06-01 03:38:06
800.00,5,2025-06-01 03:38:07
768.00,3,2025-06-01 03:38:09
768.00,2,2025-06-01 03:38:10
944.00,4,2025-06-01 03:38:11
768.00,4,2025-06-01 03:38:12
1680.00,2,2025-06-01 03:38:13
1184.00,1,2025-06-01 03:38:15
2240.00,2,2025-06-01 03:38:16
1280.00,4,2025-06-01 03:38:18
736.00,3,2025-06-01 03:38:19
512.00,5,2025-06-01 03:38:21
1440.00,4,2025-06-01 03:38:24
304.00,5,2025-06-01 03:38:25
1664.00,2,2025-06-01 03:38:27
1472.00,4,2025-06-01 03:38:28
768.00,5,2025-06-01 03:38:31
256.00,5,2025-06-01 03:38:33
736.00,3,2025-06-01 03:38:35
1872.00,1,2025-06-01 03:38:37
288.00,3,2025-06-01 03:38:38
1472.00,5,2025-06-01 03:38:44
256.00,5,2025-06-01 03:38:46
1280.00,4,2025-06-01 03:38:47
1280.00,2,2025-06-01 03:38:49
768.00,5,2025-06-01 03:38:50
832.00,4,2025-06-01 03:38:51
1216.00,5,2025-06-01 03:38:52
304.00,2,2025-06-01 03:38:56
544.00,3,2025-06-01 03:38:58
768.00,3,2025-06-01 03:39:00
1664.00,4,2025-06-01 03:39:01
576.00,4,2025-06-01 03:39:02
1728.00,4,2025-06-01 03:39:04
2112.00,1,2025-06-01 03:39:05
768.00,1,2025-06-01 03:39:07
288.00,3,2025-06-01 03:39:08
640.00,4,2025-06-01 03:39:11
912.00,1,2025-06-01 03:39:13
768.00,4,2025-06-01 03:39:15
560.00,1,2025-06-01 03:39:17
800.00,1,2025-06-01 03:39:18
1152.00,4,2025-06-01 03:39:19
560.00,4,2025-06-01 03:39:20
1776.00,5,2025-06-01 03:39:21
768.00,2,2025-06-01 03:39:22
1280.00,5,2025-06-01 03:39:23
1152.00,4,2025-06-01 03:39:24
864.00,3,2025-06-01 03:39:25
768.00,3,2025-06-01 03:39:27
864.00,1,2025-06-01 03:39:28
1920.00,1,2025-06-01 03:39:30
960.00,5,2025-06-01 03:39:31
768.00,5,2025-06-01 03:39:32
512.00,2,2025-06-01 03:39:33
1376.00,3,2025-06-01 03:39:34
1664.00,2,2025-06-01 03:39:36
1136.00,2,2025-06-01 03:39:37
768.00,1,2025-06-01 03:39:39
896.00,3,2025-06-01 03:39:40
288.00,3,2025-06-01 03:39:41
2304.00,2,2025-06-01 03:39:42
1184.00,2,2025-06-01 03:39:44
864.00,5,2025-06-01 03:39:45
704.00,2,2025-06-01 03:39:46
1312.00,4,2025-06-01 03:39:48
768.00,1,2025-06-01 03:39:49
576.00,1,2025-06-01 03:39:51
1840.00,1,2025-06-01 03:39:53
976.00,4,2025-06-01 03:39:55
1152.00,3,2025-06-01 03:39:56
448.00,3,2025-06-01 03:39:57
864.00,3,2025-06-01 03:39:59
224.00,1,2025-06-01 03:40:00
256.00,1,2025-06-01 03:40:01
1472.00,2,2025-06-01 03:40:03
448.00,5,2025-06-01 03:40:06
1072.00,3,2025-06-01 03:40:07
1568.00,4,2025-06-01 03:40:08
576.00,1,2025-06-01 03:40:09
864.00,5,2025-06-01 03:40:10
768.00,3,2025-06-01 03:40:11
1856.00,4,2025-06-01 03:40:12
256.00,2,2025-06-01 03:40:13
288.00,2,2025-06-01 03:40:16
256.00,4,2025-06-01 03:40:18
304.00,3,2025-06-01 03:40:21
1088.00,2,2025-06-01 03:40:22
384.00,1,2025-06-01 03:40:23
704.00,4,2025-06-01 03:40:24
1120.00,1,2025-06-01 03:40:26
1312.00,5,2025-06-01 03:40:27
2208.00,1,2025-06-01 03:40:29
864.00,5,2025-06-01 03:40:30
480.00,3,2025-06-01 03:40:31
1088.00,5,2025-06-01 03:40:34
1488.00,1,2025-06-01 03:40:35
1088.00,2,2025-06-01 03:40:37
1680.00,4,2025-06-01 03:40:38
224.00,5,2025-06-01 03:40:40
1312.00,1,2025-06-01 03:40:41
304.00,3,2025-06-01 03:40:42
512.00,3,2025-06-01 03:40:43
304.00,3,2025-06-01 03:40:44
864.00,5,2025-06-01 03:40:45
1888.00,3,2025-06-01 03:40:48
1440.00,2,2025-06-01 03:40:50
1664.00,3,2025-06-01 03:40:51
1184.00,3,2025-06-01 03:40:52
448.00,1,2025-06-01 03:40:55
1440.00,3,2025-06-01 03:40:58
192.00,2,2025-06-01 03:41:01
1216.00,4,2025-06-01 03:41:06
1472.00,4,2025-06-01 03:41:07
1600.00,4,2025-06-01 03:41:08
1600.00,2,2025-06-01 03:41:09
256.00,4,2025-06-01 03:41:12
576.00,4,2025-06-01 03:41:13
1376.00,1,2025-06-01 03:41:14
608.00,5,2025-06-01 03:41:16
912.00,5,2025-06-01 03:41:17
896.00,1,2025-06-01 03:41:18
1072.00,3,2025-06-01 03:41:21
1808.00,1,2025-06-01 03:41:22
1632.00,4,2025-06-01 03:41:25
1632.00,1,2025-06-01 03:41:26
1280.00,3,2025-06-01 03:41:27
1536.00,4,2025-06-01 03:41:28
816.00,3,2025-06-01 03:41:30
672.00,4,2025-06-01 03:41:32
1216.00,4,2025-06-01 03:41:33
1680.00,1,2025-06-01 03:41:34
768.00,1,2025-06-01 03:41:40
2208.00,2,2025-06-01 03:41:44
736.00,3,2025-06-01 03:41:46
1488.00,4,2025-06-01 03:41:47
1536.00,3,2025-06-01 03:41:48
1632.00,1,2025-06-01 03:41:51
800.00,3,2025-06-01 03:41:54
880.00,4,2025-06-01 03:41:56
768.00,1,2025-06-01 03:41:58
384.00,3,2025-06-01 03:42:00
384.00,5,2025-06-01 03:42:03
1888.00,3,2025-06-01 03:42:05
288.00,1,2025-06-01 03:42:07
768.00,3,2025-06-01 03:42:09
1088.00,5,2025-06-01 03:42:10
288.00,3,2025-06-01 03:42:11
2224.00,2,2025-06-01 03:42:13
1056.00,4,2025-06-01 03:42:14
1504.00,4,2025-06-01 03:42:15
1536.00,1,2025-06-01 03:42:19
912.00,4,2025-06-01 03:42:20
768.00,3,2025-06-01 03:42:22
576.00,2,2025-06-01 03:42:23
1984.00,4,2025-06-01 03:42:26
1408.00,4,2025-06-01 03:42:29
1472.00,4,2025-06-01 03:42:30
1472.00,5,2025-06-01 03:42:32
1280.00,5,2025-06-01 03:42:35
912.00,2,2025-06-01 03:42:37
288.00,5,2025-06-01 03:42:38
1024.00,3,2025-06-01 03:42:39
1280.00,5,2025-06-01 03:42:40
704.00,3,2025-06-01 03:42:41
2736.00,3,2025-06-01 03:42:43
1472.00,5,2025-06-01 03:42:44
960.00,4,2025-06-01 03:42:45
608.00,3,2025-06-01 03:42:49
1552.00,4,2025-06-01 03:42:50
1152.00,1,2025-06-01 03:42:53
976.00,4,2025-06-01 03:42:55
864.00,5,2025-06-01 03:42:57
544.00,2,2025-06-01 03:42:58
672.00,1,2025-06-01 03:42:59
640.00,3,2025-06-01 03:43:00
1056.00,2,2025-06-01 03:43:01
384.00,4,2025-06-01 03:43:02
1536.00,4,2025-06-01 03:43:03
2144.00,5,2025-06-01 03:43:05
256.00,4,2025-06-01 03:43:06
1632.00,4,2025-06-01 03:43:07
832.00,2,2025-06-01 03:43:08
1952.00,5,2025-06-01 03:43:10
1744.00,3,2025-06-01 03:43:11
320.00,1,2025-06-01 03:43:12
1968.00,5,2025-06-01 03:43:13
1920.00,4,2025-06-01 03:43:14
192.00,1,2025-06-01 03:43:15
224.00,3,2025-06-01 03:43:16
672.00,4,2025-06-01 03:43:17
1248.00,3,2025-06-01 03:43:18
1088.00,1,2025-06-01 03:43:20
1280.00,5,2025-06-01 03:43:21
608.00,1,2025-06-01 03:43:23
960.00,2,2025-06-01 03:43:24
1504.00,2,2025-06-01 03:43:28
1088.00,2,2025-06-01 03:43:30
576.00,3,2025-06-01 03:43:31
1696.00,2,2025-06-01 03:43:32
384.00,4,2025-06-01 03:43:34
512.00,3,2025-06-01 03:43:35
288.00,4,2025-06-01 03:43:36
1696.00,1,2025-06-01 03:43:37
320.00,1,2025-06-01 03:43:38
2384.00,5,2025-06-01 03:43:39
960.00,4,2025-06-01 03:43:40
448.00,3,2025-06-01 03:43:41
1408.00,2,2025-06-01 03:43:42
1456.00,3,2025-06-01 03:43:44
512.00,2,2025-06-01 03:43:45
1888.00,1,2025-06-01 03:43:47
1824.00,3,2025-06-01 03:43:49
1664.00,1,2025-06-01 03:43:50
